description,industry,level,size,line_code,value
Currently employed on: permanent employment agreements - 0,total,0,6–19 employees,C0201,1593
Currently employed on: permanent employment agreements - 0,total,0,20–49 employees,C0201,213
Currently employed on: permanent employment agreements - 0,total,0,50–99 employees,C0201,30
Currently employed on: permanent employment agreements - 0,total,0,100+ employees,C0201,12
Currently employed on: permanent employment agreements - 0,"Agriculture, forestry, & fishing",1,total,C0201,444
Currently employed on: permanent employment agreements - 0,Agriculture,2,total,C0201,297
Currently employed on: permanent employment agreements - 0,Commercial fishing,2,total,C0201,3
Currently employed on: permanent employment agreements - 0,Forestry & logging,2,total,C0201,9
Currently employed on: permanent employment agreements - 0,"Agriculture, forestry, & fishing support services",2,total,C0201,135
Currently employed on: permanent employment agreements - 0,Mining,1,total,C0201,3
Currently employed on: permanent employment agreements - 0,Manufacturing,1,total,C0201,93
Currently employed on: permanent employment agreements - 0,"Food, beverage, & tobacco",2,total,C0201,18
Currently employed on: permanent employment agreements - 0,"Textile, clothing, footwear, & leather",2,total,C0201,9
Currently employed on: permanent employment agreements - 0,Wood & paper product,2,total,C0201,0
Currently employed on: permanent employment agreements - 0,"Printing, publishing, & recorded media",2,total,C0201,3
Currently employed on: permanent employment agreements - 0,"Petroleum, coal, chemical, & associated product",2,total,C0201,0
Currently employed on: permanent employment agreements - 0,Non-metallic mineral product,2,total,C0201,6
Currently employed on: permanent employment agreements - 0,Metal product,2,total,C0201,42
Currently employed on: permanent employment agreements - 0,Transport and industrial machinery & equipment,2,total,C0201,9
Currently employed on: permanent employment agreements - 0,Other machinery & equipment,2,total,C0201,0
Currently employed on: permanent employment agreements - 0,Other manufacturing,2,total,C0201,3
Currently employed on: permanent employment agreements - 0,"Electricity, gas, water, & waste services",1,total,C0201,3
Currently employed on: permanent employment agreements - 0,Construction,1,total,C0201,213
Currently employed on: permanent employment agreements - 0,Wholesale trade,1,total,C0201,60
Currently employed on: permanent employment agreements - 0,Machinery & equipment wholesaling,2,total,C0201,18
Currently employed on: permanent employment agreements - 0,Other wholesale trade,2,total,C0201,39
Currently employed on: permanent employment agreements - 0,Retail trade,1,total,C0201,90
Currently employed on: permanent employment agreements - 0,Accommodation & food services,1,total,C0201,438
Currently employed on: permanent employment agreements - 0,"Transport, postal, & warehousing",1,total,C0201,24
Currently employed on: permanent employment agreements - 0,Information media & telecommunications,1,total,C0201,3
Currently employed on: permanent employment agreements - 0,Publishing,2,total,C0201,3
Currently employed on: permanent employment agreements - 0,Motion picture,2,total,C0201,0
Currently employed on: permanent employment agreements - 0,Telecommunications,2,total,C0201,0
Currently employed on: permanent employment agreements - 0,Financial & insurance services,1,total,C0201,0
Currently employed on: permanent employment agreements - 0,Finance,2,total,C0201,0
Currently employed on: permanent employment agreements - 0,Insurance,2,total,C0201,0
Currently employed on: permanent employment agreements - 0,Auxiliary,2,total,C0201,0
Currently employed on: permanent employment agreements - 0,"Rental, hiring, & real estate services",1,total,C0201,15
Currently employed on: permanent employment agreements - 0,"Professional, scientific, & technical services",1,total,C0201,66
Currently employed on: permanent employment agreements - 0,Computer systems design,2,total,C0201,3
Currently employed on: permanent employment agreements - 0,Other professional scientific,2,total,C0201,63
Currently employed on: permanent employment agreements - 0,Administrative & support services,1,total,C0201,156
Currently employed on: permanent employment agreements - 0,Education & training,1,total,C0201,102
Currently employed on: permanent employment agreements - 0,Health care & social assistance,1,total,C0201,63
Currently employed on: permanent employment agreements - 0,Arts & recreation services,1,total,C0201,45
Currently employed on: permanent employment agreements - 0,Other services,1,total,C0201,24
Currently employed on: permanent employment agreements - 0,total,0,total,C0201,1848
Currently employed on: permanent employment agreements - 1 to 19,total,0,6–19 employees,C0201,25986
Currently employed on: permanent employment agreements - 1 to 19,total,0,20–49 employees,C0201,2007
Currently employed on: permanent employment agreements - 1 to 19,total,0,50–99 employees,C0201,153
Currently employed on: permanent employment agreements - 1 to 19,total,0,100+ employees,C0201,99
Currently employed on: permanent employment agreements - 1 to 19,"Agriculture, forestry, & fishing",1,total,C0201,2661
Currently employed on: permanent employment agreements - 1 to 19,Agriculture,2,total,C0201,1815
Currently employed on: permanent employment agreements - 1 to 19,Commercial fishing,2,total,C0201,36
Currently employed on: permanent employment agreements - 1 to 19,Forestry & logging,2,total,C0201,183
Currently employed on: permanent employment agreements - 1 to 19,"Agriculture, forestry, & fishing support services",2,total,C0201,627
Currently employed on: permanent employment agreements - 1 to 19,Mining,1,total,C0201,57
Currently employed on: permanent employment agreements - 1 to 19,Manufacturing,1,total,C0201,2955
Currently employed on: permanent employment agreements - 1 to 19,"Food, beverage, & tobacco",2,total,C0201,612
Currently employed on: permanent employment agreements - 1 to 19,"Textile, clothing, footwear, & leather",2,total,C0201,153
Currently employed on: permanent employment agreements - 1 to 19,Wood & paper product,2,total,C0201,258
Currently employed on: permanent employment agreements - 1 to 19,"Printing, publishing, & recorded media",2,total,C0201,150
Currently employed on: permanent employment agreements - 1 to 19,"Petroleum, coal, chemical, & associated product",2,total,C0201,210
Currently employed on: permanent employment agreements - 1 to 19,Non-metallic mineral product,2,total,C0201,111
Currently employed on: permanent employment agreements - 1 to 19,Metal product,2,total,C0201,561
Currently employed on: permanent employment agreements - 1 to 19,Transport and industrial machinery & equipment,2,total,C0201,543
Currently employed on: permanent employment agreements - 1 to 19,Other machinery & equipment,2,total,C0201,123
Currently employed on: permanent employment agreements - 1 to 19,Other manufacturing,2,total,C0201,231
Currently employed on: permanent employment agreements - 1 to 19,"Electricity, gas, water, & waste services",1,total,C0201,93
Currently employed on: permanent employment agreements - 1 to 19,Construction,1,total,C0201,3690
Currently employed on: permanent employment agreements - 1 to 19,Wholesale trade,1,total,C0201,2079
Currently employed on: permanent employment agreements - 1 to 19,Machinery & equipment wholesaling,2,total,C0201,579
Currently employed on: permanent employment agreements - 1 to 19,Other wholesale trade,2,total,C0201,1500
Currently employed on: permanent employment agreements - 1 to 19,Retail trade,1,total,C0201,3009
Currently employed on: permanent employment agreements - 1 to 19,Accommodation & food services,1,total,C0201,4326
Currently employed on: permanent employment agreements - 1 to 19,"Transport, postal, & warehousing",1,total,C0201,954
Currently employed on: permanent employment agreements - 1 to 19,Information media & telecommunications,1,total,C0201,249
Currently employed on: permanent employment agreements - 1 to 19,Publishing,2,total,C0201,90
Currently employed on: permanent employment agreements - 1 to 19,Motion picture,2,total,C0201,93
Currently employed on: permanent employment agreements - 1 to 19,Telecommunications,2,total,C0201,63
Currently employed on: permanent employment agreements - 1 to 19,Financial & insurance services,1,total,C0201,363
Currently employed on: permanent employment agreements - 1 to 19,Finance,2,total,C0201,111
Currently employed on: permanent employment agreements - 1 to 19,Insurance,2,total,C0201,6
Currently employed on: permanent employment agreements - 1 to 19,Auxiliary,2,total,C0201,246
Currently employed on: permanent employment agreements - 1 to 19,"Rental, hiring, & real estate services",1,total,C0201,657
Currently employed on: permanent employment agreements - 1 to 19,"Professional, scientific, & technical services",1,total,C0201,2784
Currently employed on: permanent employment agreements - 1 to 19,Computer systems design,2,total,C0201,450
Currently employed on: permanent employment agreements - 1 to 19,Other professional scientific,2,total,C0201,2337
Currently employed on: permanent employment agreements - 1 to 19,Administrative & support services,1,total,C0201,1050
Currently employed on: permanent employment agreements - 1 to 19,Education & training,1,total,C0201,576
Currently employed on: permanent employment agreements - 1 to 19,Health care & social assistance,1,total,C0201,1521
Currently employed on: permanent employment agreements - 1 to 19,Arts & recreation services,1,total,C0201,273
Currently employed on: permanent employment agreements - 1 to 19,Other services,1,total,C0201,939
Currently employed on: permanent employment agreements - 1 to 19,total,0,total,C0201,28242
Currently employed on: permanent employment agreements - 20 to 49,total,0,6–19 employees,C0201,693
Currently employed on: permanent employment agreements - 20 to 49,total,0,20–49 employees,C0201,4461
Currently employed on: permanent employment agreements - 20 to 49,total,0,50–99 employees,C0201,402
Currently employed on: permanent employment agreements - 20 to 49,total,0,100+ employees,C0201,84
Currently employed on: permanent employment agreements - 20 to 49,"Agriculture, forestry, & fishing",1,total,C0201,234
Currently employed on: permanent employment agreements - 20 to 49,Agriculture,2,total,C0201,111
Currently employed on: permanent employment agreements - 20 to 49,Commercial fishing,2,total,C0201,9
Currently employed on: permanent employment agreements - 20 to 49,Forestry & logging,2,total,C0201,24
Currently employed on: permanent employment agreements - 20 to 49,"Agriculture, forestry, & fishing support services",2,total,C0201,90
Currently employed on: permanent employment agreements - 20 to 49,Mining,1,total,C0201,21
Currently employed on: permanent employment agreements - 20 to 49,Manufacturing,1,total,C0201,957
Currently employed on: permanent employment agreements - 20 to 49,"Food, beverage, & tobacco",2,total,C0201,192
Currently employed on: permanent employment agreements - 20 to 49,"Textile, clothing, footwear, & leather",2,total,C0201,60
Currently employed on: permanent employment agreements - 20 to 49,Wood & paper product,2,total,C0201,111
Currently employed on: permanent employment agreements - 20 to 49,"Printing, publishing, & recorded media",2,total,C0201,39
Currently employed on: permanent employment agreements - 20 to 49,"Petroleum, coal, chemical, & associated product",2,total,C0201,117
Currently employed on: permanent employment agreements - 20 to 49,Non-metallic mineral product,2,total,C0201,33
Currently employed on: permanent employment agreements - 20 to 49,Metal product,2,total,C0201,186
Currently employed on: permanent employment agreements - 20 to 49,Transport and industrial machinery & equipment,2,total,C0201,117
Currently employed on: permanent employment agreements - 20 to 49,Other machinery & equipment,2,total,C0201,39
Currently employed on: permanent employment agreements - 20 to 49,Other manufacturing,2,total,C0201,63
Currently employed on: permanent employment agreements - 20 to 49,"Electricity, gas, water, & waste services",1,total,C0201,27
Currently employed on: permanent employment agreements - 20 to 49,Construction,1,total,C0201,663
Currently employed on: permanent employment agreements - 20 to 49,Wholesale trade,1,total,C0201,528
Currently employed on: permanent employment agreements - 20 to 49,Machinery & equipment wholesaling,2,total,C0201,153
Currently employed on: permanent employment agreements - 20 to 49,Other wholesale trade,2,total,C0201,372
